"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems","sContentType","sProductManufacturer","sProductName","dDateRequested","sTechnologyHostingModel","sApplicationHostingModel","sDeploymentType","sPurposeForEngagement","bNewITCapability","sITCapability","sBusinessCapability","bCurrentLicenses","sNumberOfUsers","bIntegrationRequired","sIntegrationMethod","bExternalDataSources","sDataObjectsInvolvedInIntegration","sSourceSystem","sTargetSystem","sProductNameWithManufacture","bOpenSource","nEstGaCost","nEstCapitalCost","sITClass","sITSponsor"
"39","TGB020.2016","9/29/2016","Cloud Use Case","Approved","False","True","TGB Technology Review","Microsoft","Azure IaaS Calgary OSI Soft PI","9/15/2016","Cloud Hosted Infrastructure as a Service (IaaS)","","Production","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Business Process Management (BPM) & Workflow :: Machine Workflow","","","","False","","False","","","","Microsoft | Azure IaaS Calgary OSI Soft PI","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Manek, Ben"
"38","TGB019.2016","9/29/2016","Cloud Use Case","Approved","False","True","TGB Technology Review","Microsoft","Azure IaaS OSISoft PI","9/15/2016","Cloud Hosted Infrastructure as a Service (IaaS)","","Production","Raise Awareness","False","Middleware & Platform :: Integration & Data Management :: Business Process Management (BPM) & Workflow :: Machine Workflow","","","","False","","False","","","","Microsoft | Azure IaaS OSISoft PI","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Manek, Ben"
"45","TGB018.2016","10/13/2016","Technology","Approved","False","False","TGB Technology Review","ServiceNow","ServiceNow IT Service Management Suite","10/1/2016","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Monitoring & Event Correlation","","","","False","","False","","","","ServiceNow | ServiceNow IT Service Management Suite","No","0.0000","0.0000","Infrastructure :: Infrastructure Management","Keenze, Jon"
"33","TGB017.2016","10/13/2016","Technology","Approved","True","False","TGB Technology Review","Hewlett Packard (HPE)","HPE Service Assistance","10/1/2016","On-Premises Operations & Automation","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Monitoring & Event Correlation","","","","False","","False","","","","Hewlett Packard (HPE) | HPE Service Assistance","No","0.0000","0.0000","Infrastructure :: Infrastructure Management","Keenze, Jon"
"30","TGB016.2016","9/29/2016","Technology","Approved","False","False","TGB Technology Review","EQUINIX","Cloud Exchange","9/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Infrastructure :: Voice & Data Communications :: Network Transport","","","","False","","False","","","","EQUINIX | Cloud Exchange","No","300000","90000","Infrastructure :: Voice & Data Communications","Graham, Nate"
"43","TGB015.2016","9/1/2016","Technology","Approved","False","True","TGB Technology Review","Sailpoint","Sailpoint","8/15/2016","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","False","Digital Security :: Identity & Access Management :: Identity Management (IdM)","","","","False","","False","","","","Sailpoint | Sailpoint","No","62000","1200000","Digital Security :: Identity & Access Management","Graham, Nate"
"46","TGB014.2016","9/1/2016","Technology","No Decision (ITAG Informed Only)","False","True","TGB Technology Review","Streamsets","Streamsets Data Connector","8/15/2016","On-Premises Platform","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration :: Complex Event Processing","","","","False","","False","","","","Streamsets | Streamsets Data Connector","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"37","TGB013.2016","9/1/2016","Technology","No Decision (ITAG Informed Only)","False","False","TGB Technology Review","Microsoft","Windows 10","8/15/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Desktop Computing :: Desktop Operating Systems","","","","False","","False","","","","Microsoft | Windows 10","No","0.0000","0.0000","End User Computing :: Endpoint Computing","Whitley, Brad"
"28","TGB012.2016","9/8/2016","Technology","Approved","False","False","TGB Technology Review","Dell / Startech","New general purpose Desktop Hardware and docking solution","9/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Desktop Computing :: Desktop Hardware and Peripherals","","","","False","","False","","","","Dell / Startech | New general purpose Desktop Hardware and docking solution","No","0.0000","0.0000","End User Computing :: Endpoint Computing","Whitley, Brad"
"31","TGB011.2016","8/18/2016","Technology","Approved","False","True","TGB Technology Review","Google","Chrome Browser","8/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Worker Productivity Tools","","","","False","","False","","","","Google | Chrome Browser","No","0.0000","0.0000","End User Computing :: Worker Productivity Tools","Whitley, Brad"
"35","TGB010.2016","8/18/2016","Technology","Approved","False","False","TGB Technology Review","Microsoft","Next Generation OneDrive Sync Client","8/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Worker Productivity Tools","","","","False","","False","","","","Microsoft | Next Generation OneDrive Sync Client","No","0.0000","0.0000","End User Computing :: Worker Productivity Tools","Whitley, Brad"
"36","TGB009.2016","8/18/2016","Technology","Approved","False","False","TGB Technology Review","Microsoft","OneDrive Univeral App","8/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Worker Productivity Tools","","","","False","","False","","","","Microsoft | OneDrive Univeral App","No","0.0000","0.0000","End User Computing :: Worker Productivity Tools","Whitley, Brad"
"48","TGB008.2016","8/18/2016","Technology","Approved","True","True","TGB Technology Review","Microsoft","Office 365 Yammer | Well-Centric Collaboration Tools","8/1/2016","Cloud Hosted Software as a Service (SaaS)","","Pilot (Small Production Sample)","Seeking Approval","False","Information Delivery :: Content Delivery :: Knowledge Management :: Business Social","","","","False","","False","","","","Microsoft | Office 365 Yammer | Well-Centric Collaboration Tools","No","0.0000","0.0000","Information Delivery :: Content Delivery","Taylor, Stephen"
"42","TGB007.2016","8/18/2016","Technology","Approved","False","True","TGB Technology Review","RedHat","Satellite Server 6.X","8/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Physical Infrastructure Management","","","","False","","False","","","","RedHat | Satellite Server 6.X","No","0.0000","0.0000","Infrastructure :: Infrastructure Management","Whitley, Brad"
"51","TGB006.2016","8/18/2016","Technology","Approved","True","True","TGB Technology Review","Puppet Labs","Puppet  w/Foreman console","8/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management :: Cloud Management Platform :: Infrastructure Orchestration","","","","False","","False","","","","Puppet Labs | Puppet  w/Foreman console","Yes","0.0000","0.0000","Infrastructure :: Infrastructure Management","Whitley, Brad"
"49","TGB005.2016","8/18/2016","Technology","Approved","True","False","TGB Technology Review","Node.js Foundation","Node.js and npm","8/1/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Server Services :: Other Application Server Services","","","","False","","False","","","","Node.js Foundation | Node.js and npm","Yes","0.0000","0.0000","Middleware & Platform :: Application Platform Services","Whitley, Brad"
"27","TGB004.2016","7/21/2016","Technology","Approved","False","False","TGB Technology Review","Cloudera","Impala ODBC Driver","7/1/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Cloudera | Impala ODBC Driver","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"50","TGB003.2016","7/21/2016","Technology","Approved","False","True","TGB Technology Review","Palo Alto Networks","Palo Alto Next Generation Firewall","7/1/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","Digital Security :: Preventative Security :: Network Access Management & Control :: Network Firewall Security","","","","False","","False","","","","Palo Alto Networks | Palo Alto Next Generation Firewall","No","0.0000","0.0000","Digital Security :: Preventative Security","Taylor, Stephen"
"34","TGB002.2016","6/23/2016","Technology","Denied","False","True","TGB Technology Review","Jetbrains","TeamCity","6/1/2016","On-Premises Platform","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management","","","","False","","False","","","","Jetbrains | TeamCity","No","0.0000","0.0000","Middleware & Platform :: Application Platform Services","Taylor, Stephen"
"47","TGB001.2016","6/23/2016","Technology","Approved","False","False","TGB Technology Review","Devon","Attribute Assisted Seismic Processing & Interpretation (AASPI)","6/1/2016","On-Premises Platform","","Production","Seeking Approval","False","Infrastructure :: Datacenter Computing :: Grid Computing","","","","False","","False","","","","Devon | Attribute Assisted Seismic Processing & Interpretation (AASPI)","No","0.0000","0.0000","Infrastructure :: Datacenter Computing","Wilkinson, Steve"
"19","AIGB009.2017","2/8/2017","Application","Approved","False","False","AIGB Application Review","GoAnimate","GoAnimate","2/1/2016","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Human Resources :: Employee Management :: Career Management","","Less than  25","False","","False","","","","GoAnimate | GoAnimate","No","0.0000","0.0000","Human Resources :: Employee Management","Graham, Nate"
"11","AIGB002.2017","1/12/2017","Application","Approved","True","False","AIGB Application Review","Schlumberger","Avocet","1/1/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Operations :: Production Optimization","","Not Known at this Time","True","","False","","","","Schlumberger | Avocet","No","0.0000","0.0000","Operations :: Production Optimization","Manek, Ben"
"10","AIGB003.2017","1/12/2017","Application","Approved","True","False","AIGB Application Review","BakerHughes","FieldPulse (pilot)","1/1/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Operations :: Production Optimization","","Not Known at this Time","True","","False","","","","BakerHughes | FieldPulse (pilot)","No","0.0000","0.0000","Operations :: Production Optimization","Manek, Ben"
"12","AIGB004.2017","1/12/2017","Application","Approved","True","False","AIGB Application Review","Energy Navigator","Value Navigator 2016 V2","1/1/2017","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Reservoir Characterization","","Greater than 50","True","","False","","","","Energy Navigator | Value Navigator 2016 V2","No","0.0000","0.0000","Engineering :: Reservoir Characterization","Wilkinson, Steve"
"61","TGB003.2017","1/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Event Hub","2/4/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration :: Complex Event Processing","","","","False","","False","","","","Microsoft | Azure Event Hub","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"13","AIGB005.2017","1/26/2017","Application","Approved","False","False","AIGB Application Review","FEI","PerGeos for Digital Rock and Core Analysis","1/15/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Geoscience :: Asset Exploration :: Geologic Modeling","","Not Known at this Time","False","","False","","","","FEI | PerGeos for Digital Rock and Core Analysis","No","280000","500000","Geoscience :: Asset Exploration","Wilkinson, Steve"
"14","AIGB006.2017","1/26/2017","Application","Approved","False","True","AIGB Application Review","Devon","Inventory Management Tool","1/15/2016","","Cloud Hosted Platform as a Service (PaaS)","Production","Seeking Approval","False","","Engineering :: Reservoir Characterization","","Greater than 50","False","","False","","","","Devon | Inventory Management Tool","No","615000","535000","Engineering :: Reservoir Characterization","Cordeiro, Jody"
"15","AIGB007.2017","1/26/2017","Application","Approved","False","False","AIGB Application Review","OfficeWork Software","OrgChart Now","1/15/2016","","Cloud Hosted Software as a Service (SaaS)","Production","Seeking Approval","False","","Human Resources","","Less than  25","True","","False","","","","OfficeWork Software | OrgChart Now","No","11490","0.0000","Human Resources","Nicolotti, Daniel"
"17","AIGB010.2017","1/26/2017","Application","Approved","True","False","AIGB Application Review","Microsoft","Office 365 Video (Stream)","1/15/2016","","Cloud Hosted Software as a Service (SaaS)","Pilot (Small Production Sample)","Seeking Approval","False","","Enterprise :: Data and Information Management :: Content Management","","Greater than 50","False","","False","","","","Microsoft | Office 365 Video (Stream)","No","0.0000","0.0000","Enterprise :: Data and Information Management","Wempe, Joe"
"68","TGB004.2017","2/2/2017","Technology","Approved","False","False","TGB Technology Review","Microsoft","Information Rights Management","2/4/2017","Cloud Hosted Software as a Service (SaaS)","","Pilot (Small Production Sample)","Seeking Approval","True","Digital Security :: Identity & Access Management :: Authorization :: Information Rights Management (IRM)","","","","False","","False","","","","Microsoft | Information Rights Management","No","0.0000","0.0000","Digital Security :: Identity & Access Management","Graham, Nate"
"67","TGB005.2017","2/2/2017","Technology","Approved","False","False","TGB Technology Review","Veracode","Veracode Application Security Software","2/4/2017","Cloud Hosted Software as a Service (SaaS)","","Production","Seeking Approval","True","Digital Security :: Preventative Security :: Host Access Management & Control :: Malware Protection","","","","False","","False","","","","Veracode | Veracode Application Security Software","No","45000","0.0000","Digital Security :: Preventative Security","Graham, Nate"
"69","TGB006.2017","2/2/2017","Technology","No Decision (ITAG Informed Only)","False","False","TGB Technology Review","Devon","Inventory Management Tool","2/4/2017","Cloud Hosted Platform as a Service (PaaS)","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management","","","","False","","False","","","","Devon | Inventory Management Tool","No","0.0000","0.0000","Middleware & Platform :: Application Platform Services","Cordeiro, Jody"
"72","AIGB008.2017","2/23/2017","Application","Approved","False","False","AIGB Application Review","Vertex, Inc.","Vertex Indirect Tax O Series  (i.e. Vertex O Series)","3/8/2017","","Hybrid (Contains both cloud based and on premises components)","Production","Seeking Approval","False","","Corporate :: Corporate Management :: Public Relations","","Less than  25","True","","False","","","","Vertex, Inc. | Vertex Indirect Tax O Series  (i.e. Vertex O Series)","No","21500","148100","Corporate :: Corporate Management","Dolezal, Greg"
"75","AIGB011.2017","2/23/2017","Application","Approved","False","False","AIGB Application Review","CGG Hampson-Russell","Hampson-Russell (RockSI and GeoSI modules)","2/15/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Geoscience","","Less than  25","True","","False","","","","CGG Hampson-Russell | Hampson-Russell (RockSI and GeoSI modules)","No","20000","0.0000","Geoscience","Wilkinson, Steve"
"70","TGB007.2017","3/2/2017","Technology","Approved","False","False","TGB Technology Review","EPI Use Labs","Data Sync Manager","3/7/2017","On-Premises Infrastructure","","Production","Seeking Approval","True","Information Delivery :: Content Delivery :: Enterprise Content Management","","","","False","","False","","","","EPI Use Labs | Data Sync Manager","No","100000","0.0000","Information Delivery :: Content Delivery","Nicolotti, Daniel"
"74","TGB008.2017","3/2/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure IaaS High Frequency Data Collection","3/13/2017","Hybrid (Contains both cloud based and on premises components)","","Proof of Concept/Technology","Raise Awareness","True","Information Delivery :: Reporting & Analytics :: Analytics :: Data Exploration","","","","False","","False","","","","Microsoft | Azure IaaS High Frequency Data Collection","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Manek, Ben"
"65","TGB003.2017","1/19/2017","Technology","Approved","True","False","TGB Technology Review","Hortonworks","HDInsight","2/4/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Hortonworks | HDInsight","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"64","TGB003.2017","1/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Data Factory","2/4/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration :: Extract Transform & Load (ETL)","","","","False","","False","","","","Microsoft | Azure Data Factory","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"60","TGB003.2017","1/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Data Lake Analytics","2/4/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Microsoft | Azure Data Lake Analytics","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"59","TGB003.2017","1/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Data Lake Store","2/4/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Microsoft | Azure Data Lake Store","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"66","TGB003.2017","1/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Machine Learning","2/4/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Predictive Analytics","","","","False","","False","","","","Microsoft | Azure Machine Learning","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Taylor, Stephen"
"63","TGB003.2017","1/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Stream Analytics","2/4/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration","","","","False","","False","","","","Microsoft | Azure Stream Analytics","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"62","TGB003.2017","1/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure IoT Hub","2/4/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Application Integration :: Message Queing","","","","False","","False","","","","Microsoft | Azure IoT Hub","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management","Taylor, Stephen"
"16","AIGB010.2017","1/26/2017","Application","Approved","True","False","AIGB Application Review","Microsoft","Office 365 StaffHub","1/15/2016","","Cloud Hosted Software as a Service (SaaS)","Pilot (Small Production Sample)","Consultation/Guidance","False","","Capital Project Management/Budget :: Planning and Budgeting","","Not Known at this Time","False","","False","","","","Microsoft | Office 365 StaffHub","No","0.0000","0.0000","Capital Project Management/Budget :: Planning and Budgeting","Wempe, Joe"
"117","TGB034.2016","6/16/2016","Technology","Approved","False","False","TGB Technology Review","Seeq","Industrial Analytics","6/16/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics","","","","False","","False","","","","Seeq | Industrial Analytics","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Manek, Ben"
"116","TGB035.2016","6/16/2016","Technology","Approved","False","False","TGB Technology Review","SAS","IML","6/16/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Machine Learning","","","","False","","False","","","","SAS | IML","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Taylor, Stephen"
"115","AIGB010.2016","6/16/2016","Application","Approved","False","False","AIGB Application Review","PMConnect","KM/Enterprise Social","6/16/2016","","On-Premises Hosted Application","Pilot (Small Production Sample)","Consultation/Guidance","False","","Enterprise :: Data and Information Management :: Knowledge Management","","Less than  25","True","","False","","","","PMConnect | KM/Enterprise Social","No","0.0000","0.0000","Enterprise :: Data and Information Management","Cordeiro, Jody"
"114","TGB036.2016","6/16/2016","Technology","Approved","False","False","TGB Technology Review","DigitizeIt","DigitizeIt","6/6/2016","On-Premises Infrastructure","","Production","Seeking Approval","False","End User Computing :: Endpoint Computing :: Peripherals :: Printing & Printer Management","","","","False","","False","","","","DigitizeIt | DigitizeIt","No","0.0000","0.0000","End User Computing :: Endpoint Computing","Cordeiro, Jody"
"113","AIGB009.2016","7/14/2016","Application","Approved","False","False","AIGB Application Review","SageRider","Well Ranger","7/14/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Well Construction :: Well Drilling","","Less than  25","False","","False","","","","SageRider | Well Ranger","No","0.0000","0.0000","Engineering :: Well Construction","Cordeiro, Jody"
"112","AIGB011.2016","7/14/2016","Application","Approved","False","False","AIGB Application Review","Sanvean","GameChanger","7/14/2016","","On-Premises Hosted Application","Production","Seeking Approval","False","","Engineering :: Production Asset Facility Development","","Less than  25","False","","False","","","","Sanvean | GameChanger","No","0.0000","0.0000","Engineering :: Production Asset Facility Development","Cordeiro, Jody"
"111","TGB037.2016","7/14/2016","Technology","Approved","False","False","TGB Technology Review","Test Architect","Test Architect","7/14/2016","On-Premises Operations & Automation","","Production","Seeking Approval","False","Infrastructure :: Infrastructure Management","","","","False","","False","","","","Test Architect | Test Architect","No","0.0000","0.0000","Infrastructure :: Infrastructure Management","Graham, Nate"
"110","TGB038.2016","7/28/2016","Technology","Approved","False","False","TGB Technology Review","Project Jupyter","Jupyter","7/28/2016","On-Premises Platform","","Production","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Data Mining","","","","False","","False","","","","Project Jupyter | Jupyter","Yes","0.0000","0.0000","Information Delivery :: Reporting & Analytics","Taylor, Stephen"
